"Delta.M1","Delta.Inter","Delta.COV","Usa_Vel","Primavera_flag","Delta.prima","Sazo.Cycle","Delta.sazo","Delay","Error"
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,2,0.190057758925923
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,2,0.190057758925923
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,2,0.190057758925923
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,2,0.190057758925923
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.99,6,0.190219624378811
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,4,0.190230977463749
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,6,0.190252513111557
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,8,0.190267327809606
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,8,0.190267327809606
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,8,0.190267327809606
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,8,0.190267327809606
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,8,0.190267327809606
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,8,0.190267327809606
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,8,0.190267327809606
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,8,0.190267327809606
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,8,0.190267327809606
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,8,0.190267327809606
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,8,0.190267327809606
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.98,12,0.190274543734583
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,1,0.190300748715635
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.98,11,0.190340397786653
0.9,1,1,TRUE,"Sem",0.95,"Anual",1,3,0.190344255776976
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,12,0.190350413311573
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,12,0.190350413311573
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,12,0.190350413311573
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,12,0.190350413311573
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,12,0.190350413311573
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,12,0.190350413311573
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,12,0.190350413311573
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,12,0.190350413311573
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,12,0.190350413311573
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,12,0.190350413311573
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,12,0.190350413311573
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,1,0.190366236956659
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,1,0.190366236956659
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,1,0.190366236956659
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,1,0.190366236956659
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,1,0.190366236956659
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,1,0.190366236956659
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,1,0.190366236956659
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,1,0.190366236956659
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,1,0.190366236956659
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,1,0.190366236956659
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,1,0.190366236956659
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,7,0.190387635029614
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,7,0.190387635029614
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,7,0.190387635029614
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,7,0.190387635029614
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,7,0.190387635029614
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,7,0.190387635029614
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,7,0.190387635029614
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,7,0.190387635029614
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,7,0.190387635029614
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,7,0.190387635029614
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,7,0.190387635029614
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.99,0,0.190393002284375
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.99,1,0.190399845215312
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,8,0.190422477799949
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.97,5,0.190442043723035
0.92,1,1,TRUE,"Sem",0.95,"Anual",1,7,0.190507278300931
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.98,9,0.190565850651952
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,10,0.190577054940853
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,10,0.190577054940853
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,10,0.190577054940853
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,10,0.190577054940853
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,10,0.190577054940853
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,10,0.190577054940853
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,10,0.190577054940853
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,10,0.190577054940853
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,10,0.190577054940853
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,10,0.190577054940853
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,10,0.190577054940853
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.95,11,0.190579380732158
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.99,2,0.190611492405584
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.97,7,0.190616528808232
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,9,0.190671393483042
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,9,0.190671393483042
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,9,0.190671393483042
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,9,0.190671393483042
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,9,0.190671393483042
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,9,0.190671393483042
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,9,0.190671393483042
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,9,0.190671393483042
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,9,0.190671393483042
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,9,0.190671393483042
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,9,0.190671393483042
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,7,0.190698241657801
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,2,0.190731372831845
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,3,0.190751200431767
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.98,1,0.190781298872907
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.97,10,0.190824105193512
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.9,5,0.190875367808598
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.91,5,0.190875367808598
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.92,5,0.190875367808598
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.93,5,0.190875367808598
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.94,5,0.190875367808598
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.95,5,0.190875367808598
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.96,5,0.190875367808598
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.97,5,0.190875367808598
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.98,5,0.190875367808598
0.96,1,1,TRUE,"Sem",0.95,"Sem",0.99,5,0.190875367808598
0.96,1,1,TRUE,"Sem",0.95,"Sem",1,5,0.190875367808598
0.9,1,1,TRUE,"Sem",0.95,"Anual",1,1,0.190881028517516
0.98,1,1,TRUE,"Sem",0.95,"Anual",1,0,0.190883913781252
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.98,9,0.190921336032862
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.97,1,0.190953448579637
0.98,1,1,TRUE,"Sem",0.95,"Anual",0.97,10,0.190964783686676
0.92,1,1,TRUE,"Sem",0.95,"Anual",0.98,3,0.190973464836612
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.96,11,0.190989027703836
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.98,7,0.190991809998522
0.94,1,1,TRUE,"Sem",0.95,"Anual",0.98,2,0.191030276561453
0.96,1,1,TRUE,"Sem",0.95,"Anual",0.97,0,0.191109074361321
