"Ganul";"Delta.M1";"Delta.Inter";"Delta.COV";"Indic_COVID";"Usa_Vel";"MSE"
1;0,99;0,86;0,89;8;0;76,6960442268137
1;0,98;0,88;0,97;8;0;76,6962780520913
1;0,98;0,87;0,93;8;0;76,696602003508
1;0,98;0,83;0,99;8;0;76,6972181630511
1;0,99;0,88;0,96;8;0;76,6988824379503
1;1;0,85;0,86;8;0;76,6997826944155
1;1;0,87;0,89;8;0;76,7002510406696
1;0,97;0,86;0,97;8;0;76,7013723880521
1;0,99;0,82;0,95;8;0;76,7017731197173
1;0,97;0,88;0,98;8;0;76,7022780813426
1;0,97;0,85;1;8;0;76,7029230233472
1;0,9;1;0,98;8;0;76,7045288890961
1;0,97;0,87;0,96;8;0;76,7048967978021
1;1;0,8;0,99;8;0;76,7056970138322
1;0,98;0,85;0,92;8;0;76,7073140638925
1;1;0,81;0,93;8;0;76,7086125766113
1;0,98;0,88;0,96;8;0;76,7091273355583
1;1;0,88;0,94;8;0;76,7094690962152
1;0,98;0,84;0,94;8;0;76,7094779630303
1;0,98;0,83;0,98;8;0;76,7102816216518
1;1;0,84;0,86;8;0;76,7104768561686
1;0,99;0,84;0,89;8;0;76,7110166431902
1;0,99;0,83;0,91;8;0;76,7111716472367
1;0,99;0,88;0,95;8;0;76,712543871824
1;0,97;0,88;0,97;8;0;76,7145263909622
1;0,97;0,85;0,99;8;0;76,7145422416023
1;0,99;0,85;0,88;8;0;76,7145890904443
1;0,98;0,87;0,92;8;0;76,714885842354
1;0,98;0,86;0,91;8;0;76,7153039795748
1;0,97;0,86;0,96;8;0;76,7155236055966
1;0,99;0,87;0,9;8;0;76,7163277284865
1;0,99;0,81;1;8;0;76,7169434080863
1;0,9;1;0,97;8;0;76,7169725129031
1;1;0,83;0,87;8;0;76,7173651128802
1;0,97;0,87;0,95;8;0;76,7197135332578
1;0,99;0,82;0,94;8;0;76,7198596430523
1;1;0,8;0,98;8;0;76,7199076025016
1;1;0,82;0,89;8;0;76,7217198694149
1;0,99;0,86;0,88;8;0;76,7218570127695
1;1;0,86;0,86;8;0;76,722107088369
1;0,98;0,88;0,95;8;0;76,7230404400757
1;0,98;0,83;0,97;8;0;76,7243920542811
1;1;0,87;0,88;8;0;76,7251242991665
1;1;0,88;0,93;8;0;76,7253807592512
1;0,97;0,85;0,98;8;0;76,7270894797331
1;0,99;0,88;0,94;8;0;76,7273508172433
1;0,97;0,88;0,96;8;0;76,7277813753782
1;0,98;0,84;0,93;8;0;76,7281150381398
1;0,98;0,85;0,91;8;0;76,7284975324197
1;0,89;1;1;8;0;76,7285991204195
1;0,99;0,81;0,99;8;0;76,7297761671771
1;1;0,81;0,92;8;0;76,7303020662429
1;0,9;1;0,96;8;0;76,730456356693
1;0,97;0,86;0,95;8;0;76,7308561512158
1;1;0,85;0,85;8;0;76,7336820015038
1;0,98;0,87;0,91;8;0;76,7347733475885
1;0,99;0,83;0,9;8;0;76,73519799476
1;1;0,8;0,97;8;0;76,7352375917583
1;0,97;0,87;0,94;8;0;76,7357857903882
1;0,98;0,86;0,9;8;0;76,7375977479
1;0,98;0,88;0,94;8;0;76,7381265307024
1;0,99;0,84;0,88;8;0;76,7384185917108
1;0,99;0,87;0,89;8;0;76,7394065679255
1;0,99;0,82;0,93;8;0;76,7394457796096
1;0,96;0,88;1;8;0;76,7395977979361
1;0,98;0,83;0,96;8;0;76,7396480881057
1;0,89;1;0,99;8;0;76,7397028516509
1;0,97;0,85;0,97;8;0;76,7406546906425
1;0,97;0,88;0,95;8;0;76,7421444177626
1;1;0,88;0,92;8;0;76,7426725251845
1;0,97;0,89;1;8;0;76,743130344498
1;0,99;0,88;0,93;8;0;76,7434225089322
1;0,99;0,85;0,87;8;0;76,743516787014
1;0,99;0,81;0,98;8;0;76,7436130999514
1;0,9;0,99;1;8;0;76,7449259024652
1;0,9;1;0,95;8;0;76,7450836622937
1;1;0,84;0,85;8;0;76,7452710988935
1;0,97;0,86;0,94;8;0;76,7474837470182
1;0,98;0,84;0,92;8;0;76,7483335844367
1;0,99;0,86;0,87;8;0;76,7500069872368
1;1;0,83;0,86;8;0;76,750279878249
1;0,96;0,88;0,99;8;0;76,7505424403725
1;1;0,82;0,88;8;0;76,7505536706063
1;0,98;0,85;0,9;8;0;76,7515216201107
1;0,89;1;0,98;8;0;76,7517154596059
1;1;0,8;0,96;8;0;76,7517880311159
1;0,96;0,89;1;8;0;76,7521175953705
1;1;0,87;0,87;8;0;76,7522935134418
1;0,97;0,87;0,93;8;0;76,7532361634552
1;0,97;0,89;0,99;8;0;76,7533683572005
1;1;0,81;0,91;8;0;76,7537936884124
1;0,98;0,88;0,93;8;0;76,7545057398635
