"Ganul";"Delta.M1";"Delta.Inter";"Delta.COV";"Indic_COVID";"Usa_Vel";"Error"
1;0,99;0,81;1;8;0;0,147250073778845
1;0,97;0,83;1;8;0;0,147261468880739
1;0,87;0,99;0,99;8;0;0,147271510290091
1;0,88;0,99;1;8;0;0,147275000220045
1;0,98;0,98;1;8;0;0,147283701507019
1;0,88;0,97;0,99;8;0;0,147293650068799
1;0,94;0,86;0,99;8;0;0,147298171976419
1;1;0,8;1;8;0;0,147301113581874
1;0,91;0,96;1;7;0;0,147328329195374
1;0,93;0,95;1;7;0;0,147332363107341
1;0,97;0,81;0,99;8;0;0,147335533427207
1;0,93;0,96;1;7;0;0,147337723516812
1;0,99;0,94;0,99;8;0;0,147341077086514
1;0,89;0,95;0,99;8;0;0,147341152929039
1;0,98;0,8;0,99;8;0;0,147347861586813
1;0,95;0,84;0,99;8;0;0,147354324632557
1;0,89;0,99;1;7;0;0,147360327095555
1;0,93;0,94;1;7;0;0,1473625250859
1;0,91;0,94;1;8;0;0,147364997492105
1;0,93;0,97;1;7;0;0,147376967744904
1;0,92;0,94;1;7;0;0,147396896901392
1;0,92;0,92;1;8;0;0,147397593866157
1;0,95;0,86;1;8;0;0,14741209937628
1;0,93;0,9;1;8;0;0,147417375570851
1;0,94;0,88;1;8;0;0,14741883557932
1;0,96;0,82;0,99;8;0;0,147425264121297
1;0,93;0,93;1;7;0;0,14742701157765
1;0,93;0,98;1;7;0;0,14744464725903
1;0,96;0,84;1;8;0;0,147447376043175
1;0,9;0,97;1;7;0;0,147457440410687
1;0,97;0,96;0,99;8;0;0,147459491210013
1;0,89;0,97;1;8;0;0,147462700590254
1;0,9;0,93;0,99;8;0;0,147467963419992
1;0,95;1;0,99;8;0;0,147473629810977
1;0,92;0,89;0,99;8;0;0,147491058656722
1;1;0,94;0,99;8;0;0,147492321523308
1;0,93;0,87;0,99;8;0;0,147513288833829
1;0,91;0,91;0,99;8;0;0,147516016605341
1;0,98;0,95;0,99;8;0;0,147516607375596
1;0,93;0,99;1;7;0;0,147530567480587
1;0,91;0,95;1;7;0;0,147533328387019
1;0,93;0,92;1;7;0;0,147549621362938
1;0,94;0,85;0,99;8;0;0,147558215843555
1;0,94;0,93;1;7;0;0,14756140984704
1;0,98;0,81;1;8;0;0,147566655722858
1;0,97;0,8;0,99;8;0;0,147573269172674
1;0,94;0,92;1;7;0;0,147579140067796
1;0,94;0,94;1;7;0;0,147583279409242
1;0,99;0,8;1;8;0;0,147585841925165
1;0,92;0,93;1;7;0;0,147592060389548
1;0,89;0,98;1;7;0;0,147595582271617
1;0,97;0,82;1;8;0;0,147602803443921
1;0,95;0,83;0,99;8;0;0,147602812492707
1;0,88;1;1;7;0;0,147615827659904
1;0,93;1;1;7;0;0,147618883863702
1;0,87;1;1;8;0;0,147626009366335
1;0,94;0,91;1;7;0;0,147632538810669
1;0,86;1;0,99;8;0;0,147636263046389
1;0,94;0,95;1;7;0;0,147647359838834
1;0,87;0,98;0,99;8;0;0,147650181294167
1;0,96;0,81;0,99;8;0;0,147666403113989
1;0,88;0,96;0,99;8;0;0,147670754216734
1;0,9;0,96;1;7;0;0,147686000876513
1;0,96;0,98;0,99;8;0;0,147693983553057
1;0,89;0,94;0,99;8;0;0,147707810699815
1;0,9;0,95;1;8;0;0,147713512374945
1;0,95;0,91;1;7;0;0,147727358596779
1;0,94;0,9;1;7;0;0,14773120168122
1;0,93;0,91;1;7;0;0,147732109576451
1;0,95;0,9;1;7;0;0,147743398252611
1;0,95;0,92;1;7;0;0,147750679522806
1;0,94;0,96;1;7;0;0,147754147800126
1;0,91;0,94;1;7;0;0,147755563648837
1;0,95;0,85;1;8;0;0,147770723173615
1;0,92;0,88;0,99;8;0;0,14778569113253
1;0,93;0,86;0,99;8;0;0,147786897529751
1;0,96;0,83;1;8;0;0,147792910348544
1;0,95;0,89;1;7;0;0,147793773494292
1;0,94;0,87;1;8;0;0,147796615963774
1;0,99;0,98;1;8;0;0,14780207177304
1;0,92;0,92;1;7;0;0,147803053445813
1;0,88;0,98;1;8;0;0,147804465741518
